,연료원,전력거래량,Year,Month,Day
308,태양광,62,2021,3,3
309,폐기물,355,2021,3,3
310,LNG,16721,2021,3,4
311,바이오,100,2021,3,4
312,연료전지,1251,2021,3,4
313,태양광,34,2021,3,4
314,폐기물,352,2021,3,4
315,LNG,9227,2021,3,5
316,바이오,101,2021,3,5
317,연료전지,1254,2021,3,5
318,태양광,70,2021,3,5
319,폐기물,362,2021,3,5
320,LNG,4990,2021,3,6
321,바이오,102,2021,3,6
322,연료전지,1254,2021,3,6
323,태양광,40,2021,3,6
324,폐기물,369,2021,3,6
325,LNG,9133,2021,3,7
326,바이오,98,2021,3,7
327,연료전지,1254,2021,3,7
328,태양광,64,2021,3,7
329,폐기물,463,2021,3,7
330,LNG,9101,2021,3,8
331,바이오,102,2021,3,8
332,연료전지,1253,2021,3,8
333,태양광,71,2021,3,8
334,폐기물,507,2021,3,8
335,LNG,9098,2021,3,9
336,바이오,101,2021,3,9
337,연료전지,1235,2021,3,9
338,태양광,55,2021,3,9
339,폐기물,505,2021,3,9
340,LNG,9119,2021,3,10
341,바이오,97,2021,3,10
342,연료전지,1201,2021,3,10
343,태양광,67,2021,3,10
344,폐기물,509,2021,3,10
345,LNG,9083,2021,3,11
346,바이오,92,2021,3,11
347,연료전지,1199,2021,3,11
348,태양광,58,2021,3,11
349,폐기물,482,2021,3,11
350,LNG,8919,2021,3,12
351,바이오,89,2021,3,12
352,연료전지,1236,2021,3,12
353,태양광,24,2021,3,12
354,폐기물,383,2021,3,12
355,LNG,8928,2021,3,13
356,바이오,101,2021,3,13
357,연료전지,1236,2021,3,13
358,태양광,50,2021,3,13
359,폐기물,395,2021,3,13
360,LNG,8931,2021,3,14
361,바이오,101,2021,3,14
362,연료전지,1236,2021,3,14
363,태양광,55,2021,3,14
364,폐기물,400,2021,3,14
365,LNG,8813,2021,3,15
366,바이오,93,2021,3,15
367,연료전지,1264,2021,3,15
368,태양광,42,2021,3,15
369,폐기물,385,2021,3,15
370,LNG,8795,2021,3,16
371,바이오,92,2021,3,16
372,연료전지,1294,2021,3,16
373,태양광,75,2021,3,16
374,폐기물,384,2021,3,16
375,LNG,8754,2021,3,17
376,바이오,98,2021,3,17
377,연료전지,1296,2021,3,17
378,태양광,73,2021,3,17
379,폐기물,507,2021,3,17
380,LNG,8924,2021,3,18
381,바이오,94,2021,3,18
382,연료전지,1254,2021,3,18
383,태양광,56,2021,3,18
384,폐기물,525,2021,3,18
385,LNG,8644,2021,3,19
386,바이오,102,2021,3,19
387,연료전지,1249,2021,3,19
388,태양광,65,2021,3,19
389,폐기물,548,2021,3,19
390,LNG,8885,2021,3,20
391,바이오,102,2021,3,20
392,연료전지,1252,2021,3,20
393,태양광,8,2021,3,20
394,폐기물,546,2021,3,20
395,LNG,8414,2021,3,21
396,바이오,97,2021,3,21
397,연료전지,1249,2021,3,21
398,태양광,47,2021,3,21
399,폐기물,549,2021,3,21
400,LNG,9129,2021,3,22
401,바이오,101,2021,3,22
402,연료전지,1257,2021,3,22
